Day,Age,Gender,A,B,C,D,E,F
4/10/2022,15-25,Male,89,730,103,700,970,276
4/10/2022,>25,Male,21,473,313,439,403,994
4/10/2022,15-25,Female,388,391,559,383,670,902
4/10/2022,>25,Female,910,509,203,68,445,730
5/10/2022,15-25,Male,301,399,461,275,218,141
5/10/2022,>25,Male,520,513,945,834,268,973
5/10/2022,15-25,Female,486,818,119,165,261,533
5/10/2022,>25,Female,694,890,787,172,395,386
6/10/2022,15-25,Male,465,619,606,389,917,483
6/10/2022,>25,Male,280,770,302,187,316,80
6/10/2022,15-25,Female,736,892,302,376,313,105
6/10/2022,>25,Female,75,179,27,648,543,215
7/10/2022,15-25,Male,710,991,888,327,276,888
7/10/2022,>25,Male,683,885,873,262,48,302
7/10/2022,15-25,Female,130,22,6,853,831,519
7/10/2022,>25,Female,328,949,535,830,385,403
8/10/2022,15-25,Male,411,946,715,968,296,662
8/10/2022,>25,Male,775,62,985,489,22,446
8/10/2022,15-25,Female,939,419,951,445,871,211
8/10/2022,>25,Female,734,908,387,917,689,831
9/10/2022,15-25,Male,231,932,567,939,530,296
9/10/2022,>25,Male,200,406,559,595,745,151
9/10/2022,15-25,Female,153,842,955,857,184,608
9/10/2022,>25,Female,437,907,731,189,414,379
10/10/2022,15-25,Male,293,164,531,23,826,886
10/10/2022,>25,Male,598,201,835,18,227,721
10/10/2022,15-25,Female,512,408,622,260,366,409
10/10/2022,>25,Female,47,306,744,208,102,281
11/10/2022,15-25,Male,343,683,600,183,188,85
11/10/2022,>25,Male,815,210,471,498,191,18
11/10/2022,15-25,Female,872,927,154,392,773,133
11/10/2022,>25,Female,736,248,876,897,256,310
12/10/2022,15-25,Male,434,200,805,485,880,152
12/10/2022,>25,Male,973,286,250,601,830,80
12/10/2022,15-25,Female,664,209,129,921,605,553
12/10/2022,>25,Female,587,870,355,78,461,366
13/10/2022,15-25,Male,39,680,775,772,490,325
13/10/2022,>25,Male,972,755,295,165,848,547
13/10/2022,15-25,Female,206,929,239,135,889,55
13/10/2022,>25,Female,355,519,509,127,668,266
14/10/2022,15-25,Male,558,674,434,145,2,149
14/10/2022,>25,Male,482,8,275,842,216,232
14/10/2022,15-25,Female,880,926,360,439,560,500
14/10/2022,>25,Female,583,335,333,876,92,106
15/10/2022,15-25,Male,828,182,388,190,792,330
15/10/2022,>25,Male,881,752,647,945,735,410
15/10/2022,15-25,Female,602,265,821,701,519,856
15/10/2022,>25,Female,218,368,115,815,643,647
16/10/2022,15-25,Male,621,215,0,391,96,362
16/10/2022,>25,Male,851,139,314,832,988,427
16/10/2022,15-25,Female,513,8,432,243,282,729
16/10/2022,>25,Female,539,573,629,926,665,537
17/10/2022,15-25,Male,82,291,286,398,769,486
17/10/2022,>25,Male,568,832,471,879,765,322
17/10/2022,15-25,Female,555,372,638,129,833,953
17/10/2022,>25,Female,143,598,576,216,47,81
18/10/2022,15-25,Male,750,823,533,622,966,501
18/10/2022,>25,Male,496,644,570,931,352,990
18/10/2022,15-25,Female,423,902,139,491,373,521
18/10/2022,>25,Female,251,281,499,84,426,453
19/10/2022,15-25,Male,55,704,975,139,54,569
19/10/2022,>25,Male,805,34,512,786,324,274
19/10/2022,15-25,Female,421,361,497,771,944,526
19/10/2022,>25,Female,357,152,348,235,291,914
20/10/2022,15-25,Male,239,470,970,47,190,434
20/10/2022,>25,Male,356,149,192,862,685,101
20/10/2022,15-25,Female,914,239,471,193,273,211
20/10/2022,>25,Female,537,60,249,740,294,672
21/10/2022,15-25,Male,158,36,849,211,898,413
21/10/2022,>25,Male,9,517,451,735,227,362
21/10/2022,15-25,Female,368,211,368,216,856,892
21/10/2022,>25,Female,332,223,791,176,969,434
22/10/2022,15-25,Male,816,423,11,819,534,104
22/10/2022,>25,Male,713,783,374,595,970,832
22/10/2022,15-25,Female,500,381,202,431,893,295
22/10/2022,>25,Female,224,654,314,558,341,600
23/10/2022,15-25,Male,321,809,919,271,678,0
23/10/2022,>25,Male,499,63,587,34,412,825
23/10/2022,15-25,Female,644,893,298,181,728,833
23/10/2022,>25,Female,123,889,312,857,649,299
24/10/2022,15-25,Male,618,971,339,723,337,120
24/10/2022,>25,Male,15,583,896,777,137,646
24/10/2022,15-25,Female,271,290,851,172,355,387
24/10/2022,>25,Female,201,411,958,512,489,164
25/10/2022,15-25,Male,532,415,568,18,362,294
25/10/2022,>25,Male,688,285,168,90,971,149
25/10/2022,15-25,Female,543,73,31,455,848,515
25/10/2022,>25,Female,644,974,273,262,229,800
26/10/2022,15-25,Male,624,530,389,865,612,989
26/10/2022,>25,Male,932,4,832,680,518,884
26/10/2022,15-25,Female,865,33,497,476,871,322
26/10/2022,>25,Female,580,269,164,5,454,407
27/10/2022,15-25,Male,874,660,208,817,218,414
27/10/2022,>25,Male,116,607,739,760,399,358
27/10/2022,15-25,Female,707,290,478,350,972,901
27/10/2022,>25,Female,541,46,813,154,545,918
28/10/2022,15-25,Male,444,324,152,72,778,182
28/10/2022,>25,Male,122,234,440,917,911,951
28/10/2022,15-25,Female,330,423,251,81,11,911
28/10/2022,>25,Female,269,814,510,144,237,292
29/10/2022,15-25,Male,644,699,902,114,389,978
29/10/2022,>25,Male,407,411,110,46,166,847
29/10/2022,15-25,Female,677,749,428,263,914,787
29/10/2022,>25,Female,607,736,26,323,137,336
